left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_ankle_angle,right_ankle_angle,palm_distance,ankle_distance,hip_head_vector,label
167.00261386084225,172.26021315170883,174.10047582854511,169.5776472240079,176.46603363781216,174.6616809730779,73.89727961056131,74.42497800574408,146.1105056457904,148.7854685547957,29.07625750109221,14.773657851960815,[-4.74701990e-01  8.80146546e-01 -2.79215502e-04],downdog
169.5066559821851,172.53175513254754,177.24192640871254,173.92202990555774,177.51980196426297,179.33887035332714,72.73088921819011,75.73050955185461,157.22043523039142,163.38034962039637,46.4950603805968,14.221639118203829,[-6.14693485e-01  7.88765976e-01 -3.92101293e-04],downdog
170.76733271475098,170.18597114179863,171.3903940202847,172.68018107045097,131.86194770863065,134.71359464554905,60.01887870486657,61.656211288130294,174.09037782017919,175.74715457591606,62.24370040494832,30.416636419245357,[-5.98730411e-01  8.00950616e-01 -7.03248397e-05],downdog
176.08505659599126,178.85043704159125,176.79254829805262,165.24372695291558,158.92827474851256,168.99163572340063,58.813144929264965,17.15540184160883,91.54815698071579,151.55557191837062,44.41894464587905,111.12644387527126,[-4.22710020e-01  9.06264664e-01 -7.73864083e-04],downdog
165.67168025158006,166.03978622277995,166.67383695146006,166.77022285347306,176.80500309851584,173.72144489741098,71.67064797715992,68.40491298173171,175.3401336128831,167.60478080605694,42.4872835667121,43.864608993200825,[ 5.67732949e-01  8.23212776e-01 -1.54226506e-04],downdog
172.17143512677987,169.49066018898796,174.91840500916751,175.59460618120912,178.95655602976726,179.5048677662328,70.57238818891572,70.77195301975173,159.30013099073997,165.24392536072162,25.614949273208214,16.972284289719305,[-4.32961797e-01  9.01412266e-01 -9.70545408e-05],downdog
164.4118154717937,164.71149328388262,176.70623276697768,178.5881409784639,174.82638859503658,174.67899811542583,88.32639783866787,88.6994587766509,148.6282309467418,154.08278396026958,108.07507168176664,43.83042752695253,[-5.98741758e-01  8.00942137e-01 -3.60771774e-05],downdog
170.7440431546731,177.1994777867681,25.34077909888285,1.3438975816372245,178.53255991490502,175.14235052144184,175.22003800011902,168.03894326115804,175.7316579028833,159.59572879547468,85.51042212076469,10.81666998426941,[ 0.69547024 -0.71854271 -0.00418534],downdog
170.4308243589724,159.6139250999891,173.70188939028856,167.23965590916734,178.08759913164647,171.625581436121,80.09756315220409,77.31011880486945,167.86523679884831,172.29227616182774,57.87187291997548,23.432732040395646,[-5.31154881e-01  8.47274740e-01 -8.28902316e-05],downdog
171.0887351905176,172.974197216887,174.50012899081742,174.58684217671436,174.07579173887908,171.8745952605579,82.95844612596855,84.82282826781727,161.21749028439405,167.97470851751214,48.82844774857289,28.321415640625965,[-4.41099914e-01  8.97458002e-01  1.98385423e-06],downdog
173.21462269096298,179.58731700363208,153.11592502271037,147.99346268175572,177.29516738868716,171.83314709460151,70.80834880755151,67.18418485063275,161.16213058599982,166.6200320535078,50.478517785359294,51.663259518264894,[-2.69857408e-01  9.62900296e-01  4.13184453e-06],downdog
165.4749781158033,165.37454038175775,178.06633997287963,177.6976344531009,179.9560140888886,179.00587542277398,73.98195743036588,73.73151347626262,162.95439247126757,166.9069761220197,41.04122704994498,15.627515894881684,[-4.89668049e-01  8.71908925e-01 -1.68958656e-04],downdog
118.37998902551195,137.13430789704734,157.6895529475913,161.79419596303038,170.507458640755,170.91444846210254,75.79589237435188,77.41858536788118,168.90566489822046,169.0573340837823,13.896294804801078,9.436924478053985,[-5.47810743e-01  8.36602277e-01  1.41561308e-04],downdog
165.0723177323156,173.22116849988308,146.93093520055672,150.48924024715362,165.29007931080397,157.66868237244674,88.95921499912576,88.28291269203498,164.0863236125187,169.01421317302112,19.108555024453075,36.4017174245577,[-7.73640001e-01  6.33625400e-01 -4.32882550e-05],downdog
179.4885770193716,176.69786309328018,175.23957131179833,171.20682796957894,174.40458599339948,175.6436353873151,78.23606898702121,78.13063961238093,172.25585588240918,169.78238721718827,35.385330260152,17.693728167613386,[ 5.31358042e-01  8.47147341e-01 -1.21768207e-04],downdog
164.29084656939162,172.6149392559391,161.99068618613512,168.7843848135549,171.63749845040252,172.81029366889817,88.96811978909562,85.41920742113443,155.32956704695772,167.9095389781063,81.93968977352235,35.35655038139529,[-5.28842540e-01  8.48719943e-01 -1.59201385e-04],downdog
156.50611228139468,164.7901703734847,169.4519629255598,164.3564976374797,176.90587268646104,175.139236298732,82.917517350075,79.68458610219871,163.42557434058918,169.07428978945762,37.12668634423018,16.28517746361707,[-4.74977849e-01  8.79997720e-01 -2.35745762e-04],downdog
178.7808071916986,176.48948533084632,178.80127108443662,179.5412516656874,178.93794306303238,177.54573092555432,63.843262449938486,62.92903303456532,152.99157213460518,164.26979728367112,67.97927618655551,44.554727577934464,[-4.86485672e-01  8.73688554e-01 -2.05605722e-05],downdog
175.3560087883835,164.70447350778971,170.35276308637145,177.90719669324812,179.94924489710056,179.57518232354545,87.55251171682742,86.74139493451246,169.4909897047201,172.53461544239718,30.08460645992055,23.324722529554066,[5.24888703e-01 8.51170870e-01 4.80513355e-06],downdog
171.0603337931514,176.83298274275108,146.02944029177462,154.91047483176828,174.1644317445978,177.93330361637825,104.00584940662505,102.04721263222878,168.91406947693838,173.02119244870983,40.61076200032459,23.347664753530218,[-7.14321586e-01  6.99817594e-01  8.35249193e-05],downdog
163.93515814891097,170.33640177546297,165.2710636355692,165.78668211356933,173.26561413428794,175.00916496794392,74.80474895775748,75.29798045138696,168.29938322326385,165.85112980982055,52.49919248220685,35.00128338079061,[5.53677603e-01 8.32731115e-01 3.04279086e-05],downdog
164.76605645545672,167.56886056472692,157.41831488420308,166.41226774661683,170.19874814822677,171.59331536015958,85.66362142030242,80.47580591150252,152.6119931736679,151.25864542353506,26.40639798305049,12.089209881421613,[-5.30811993e-01  8.47489602e-01 -5.61706000e-05],downdog
